From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg7.12	Q9W735	swissprot	prom1a proml1	camera-type eye photoreceptor cell differentiation [GO:0060219]; microvillus organization [GO:0032528]	
evm.utg7.12.2.5c22f35d	Q9W735	swissprot	prom1a proml1	camera-type eye photoreceptor cell differentiation [GO:0060219]; microvillus organization [GO:0032528]	
evm.utg7.13	Q9W735	swissprot	prom1a proml1	camera-type eye photoreceptor cell differentiation [GO:0060219]; microvillus organization [GO:0032528]	
evm.utg7.13.1.5c22f362	Q9W735	swissprot	prom1a proml1	camera-type eye photoreceptor cell differentiation [GO:0060219]; microvillus organization [GO:0032528]	
evm.utg7.14	Q01890	swissprot	YPT1		GTP binding [GO:0005525]
evm.utg7.15	A0A6P8J5J5	trembl	LOC116308607		RNA polymerase binding [GO:0070063]; transcription coregulator activity [GO:0003712]
evm.utg7.16	Q8BQB6	swissprot	Saxo2 Fam154b		microtubule binding [GO:0008017]
utg7.equina_smart_1815377.mrna1	P55115	swissprot	nas-15 T04G9.2	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg7.17	A0A6P8HKL0	trembl	LOC116290239		dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]
evm.utg7.18	A0A6P8HKL0	trembl	LOC116290239		dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]
evm.utg7.19	Q8BMD5	swissprot	Cdadc1	DNA cytosine deamination [GO:0070383]; dUTP biosynthetic process [GO:0006229]; protein homotrimerization [GO:0070207]	cytidine deaminase activity [GO:0004126]; dCMP deaminase activity [GO:0004132]; dCTP deaminase activity [GO:0008829]; importin-alpha family protein binding [GO:0061676]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
evm.utg7.21	A0A6P8H9X5	trembl	LOC116290339	positive regulation of nuclear cell cycle DNA replication [GO:0010571]; regulation of cell cycle phase transition [GO:1901987]	nucleic acid binding [GO:0003676]; protein serine/threonine kinase activator activity [GO:0043539]; zinc ion binding [GO:0008270]
evm.utg7.26	Q9CQJ1	swissprot	Higd2a	mitochondrial respirasome assembly [GO:0097250]; negative regulation of apoptotic process [GO:0043066]; response to quercetin [GO:1905235]	
evm.utg7.27	A0A6P8J5I1	trembl	LOC116308992	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
evm.utg7.28	A0A6P8J6I5	trembl	LOC116308984		ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; nucleotide binding [GO:0000166]
evm.utg7.28.1.5c22f35d	A0A6P8J6I5	trembl	LOC116308984		ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; nucleotide binding [GO:0000166]
evm.utg7.28.1.5c279723	A0A6P8J6I5	trembl	LOC116308984		ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; nucleotide binding [GO:0000166]
evm.utg7.30	A0AAD9R2T8	trembl	P5673_003453		G protein activity [GO:0003925]; GTP binding [GO:0005525]
evm.utg7.34	Q8IUR5	swissprot	TMTC1 ARG99	protein O-linked glycosylation via mannose [GO:0035269]; RNA processing [GO:0006396]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]; mannosyltransferase activity [GO:0000030]; protein binding [GO:0005515]
evm.utg7.34.1.5c22f35d	Q8IUR5	swissprot	TMTC1 ARG99	protein O-linked glycosylation via mannose [GO:0035269]; RNA processing [GO:0006396]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]; mannosyltransferase activity [GO:0000030]; protein binding [GO:0005515]
evm.utg7.32	Q91175	swissprot	adra1a	adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adrenergic receptor signaling pathway [GO:0071875]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410]	adrenergic receptor activity [GO:0004935]; alpha1-adrenergic receptor activity [GO:0004937]; G protein-coupled receptor activity [GO:0004930]
evm.utg7.35	O57525	swissprot	CYP17A1 CYP17	hormone biosynthetic process [GO:0042446]; progesterone metabolic process [GO:0042448]; steroid biosynthetic process [GO:0006694]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; steroid 17-alpha-monooxygenase activity [GO:0004508]
evm.utg7.38	Q3UEB3	swissprot	Puf60 Siahbp1	alternative mRNA splicing, via spliceosome [GO:0000380]; mRNA splice site recognition [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]
evm.utg7.38.1.5c22f35e	Q5R469	swissprot	PUF60 Siahbp1	alternative mRNA splicing, via spliceosome [GO:0000380]; mRNA splice site recognition [GO:0006376]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	nucleic acid binding [GO:0003676]
evm.utg7.39	Q5SWK7	swissprot	Rnf145	ERAD pathway [GO:0036503]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
evm.utg7.41	A0A7D9IE42	trembl	PACLA_8A088525	positive regulation of heterotypic cell-cell adhesion [GO:0034116]	extracellular matrix structural constituent [GO:0005201]; protein-macromolecule adaptor activity [GO:0030674]
evm.utg7.43	Q71KU9	swissprot	Fgl1 Mfire1	adipose tissue development [GO:0060612]; blood coagulation [GO:0007596]; cholesterol metabolic process [GO:0008203]; hepatocyte proliferation [GO:0072574]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell receptor signaling pathway [GO:0050860]; regulation of glucose metabolic process [GO:0010906]; regulation of immune response [GO:0050776]; response to stilbenoid [GO:0035634]; signal transduction [GO:0007165]	identical protein binding [GO:0042802]; protein binding [GO:0005515]
evm.utg7.44	Q12754	swissprot	RRP12 YPL012W	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	mRNA binding [GO:0003729]; protein binding [GO:0005515]
evm.utg7.45	Q0VCJ7	swissprot	RERG	negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; Ras protein signal transduction [GO:0007265]; response to hormone [GO:0009725]	G protein activity [GO:0003925]; GTP binding [GO:0005525]
evm.utg7.47	Q9UBX1	swissprot	CTSF	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; proteolysis [GO:0006508]	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; protein binding [GO:0005515]
evm.utg7.47.1.5c22f35f	Q9UBX1	swissprot	CTSF	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; proteolysis [GO:0006508]	cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; protein binding [GO:0005515]
evm.utg7.49	Q0II76	swissprot	GABRR2	chloride transmembrane transport [GO:1902476]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; synaptic transmission, GABAergic [GO:0051932]	extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]; GABA-gated chloride ion channel activity [GO:0022851]; monoatomic ion channel activity [GO:0005216]; transmembrane signaling receptor activity [GO:0004888]
evm.utg7.51	Q08971	swissprot	YPL225W	'de novo' cotranslational protein folding [GO:0051083]	misfolded protein binding [GO:0051787]; nascent polypeptide-associated complex binding [GO:1990593]; ribosome binding [GO:0043022]; translation elongation factor binding [GO:0061770]
evm.utg7.52	Q3ULA2	swissprot	Btrc Fbw1 Fbxw1 Fwd1 Kiaa4123	autophagosome assembly [GO:0000045]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cellular response to nutrient levels [GO:0031669]; mammary gland epithelial cell proliferation [GO:0033598]; negative regulation of autophagy [GO:0010507]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of TORC1 signaling [GO:1904262]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of autophagy [GO:0010508]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell receptor signaling pathway [GO:0050862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein destabilization [GO:0031648]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein processing [GO:0016485]; protein ubiquitination [GO:0016567]; proteolysis [GO:0006508]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell cycle [GO:0051726]; regulation of circadian rhythm [GO:0042752]; regulation of proteasomal protein catabolic process [GO:0061136]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; T cell receptor signaling pathway [GO:0050852]; TORC1 signaling [GO:0038202]; ubiquitin-dependent protein catabolic process [GO:0006511]	beta-catenin binding [GO:0008013]; protein binding [GO:0005515]; protein dimerization activity [GO:0046983]; protein phosphorylated amino acid binding [GO:0045309]; ubiquitin ligase activator activity [GO:1990757]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg7.54	O13067	swissprot	ncaph brrn1 caph	mitotic chromosome condensation [GO:0007076]	chromatin binding [GO:0003682]
evm.utg7.54.1.5c22f363	O13067	swissprot	ncaph brrn1 caph	mitotic chromosome condensation [GO:0007076]	chromatin binding [GO:0003682]
evm.utg7.54.2.5c22f363	O13067	swissprot	ncaph brrn1 caph	mitotic chromosome condensation [GO:0007076]	chromatin binding [GO:0003682]
evm.utg7.54.3.5c22f363	O13067	swissprot	ncaph brrn1 caph	mitotic chromosome condensation [GO:0007076]	chromatin binding [GO:0003682]
evm.utg7.55	A0A6P8J6E8	trembl	LOC116308968	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]
evm.utg7.55.1.5c22f360	A0A6P8J6E8	trembl	LOC116308968	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]
evm.utg7.55.2.5c22f360	A0A6P8J6E8	trembl	LOC116308968	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]
utg7.equina_smart_261687.mrna1	Q3TUL7	swissprot	Dcaf17	acrosome assembly [GO:0001675]; cell morphogenesis [GO:0000902]; gene expression [GO:0010467]; protein ubiquitination [GO:0016567]; spermatogenesis [GO:0007283]	
evm.utg7.56	P62308	swissprot	SNRPG PBSCG	7-methylguanosine cap hypermethylation [GO:0036261]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; nuclear histone mRNA catabolic process [GO:0071045]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]; spliceosomal tri-snRNP complex assembly [GO:0000244]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]; U2-type prespliceosome assembly [GO:1903241]	protein binding [GO:0005515]
evm.utg7.57	A0A6P8J5G0	trembl	LOC116308972		nucleic acid binding [GO:0003676]
evm.utg7.59	A0A6P8JGJ8	trembl	LOC116308998		DNA-binding transcription factor activity [GO:0003700]
evm.utg7.59.1.5c22f360	A0A6P8JGJ8	trembl	LOC116308998		DNA-binding transcription factor activity [GO:0003700]
evm.utg7.60	P30309	swissprot	cdc25-1-b cdc25b	G2/M transition of mitotic cell cycle [GO:0000086]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of G2/MI transition of meiotic cell cycle [GO:0110032]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]	protein binding [GO:0005515]; protein tyrosine phosphatase activity [GO:0004725]
evm.utg7.61	A0A6P8JCK6	trembl	LOC116308962		sulfuric ester hydrolase activity [GO:0008484]
evm.utg7.62	P15620	swissprot	Znf271 Zfp-35 Zfp35	negative regulation of cell differentiation [GO:0045596]; negative regulation of transcription by RNA polymerase II [GO:0000122]	transcription cis-regulatory region binding [GO:0000976]
evm.utg7.63	P31401	swissprot	VHA55	ATP metabolic process [GO:0046034]; proton transmembrane transport [GO:1902600]; vacuolar acidification [GO:0007035]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
evm.utg7.66	A0A6P8I849	trembl	LOC116297203	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
evm.utg7.67	A0A6P8I869	trembl	LOC116297218	smoothened signaling pathway [GO:0007224]	
evm.utg7.67.1.5c22f363	A0A6P8I869	trembl	LOC116297218	smoothened signaling pathway [GO:0007224]	
evm.utg7.69	A0ABN8QMK7	trembl	PEVE_00005821	sarcomere organization [GO:0045214]	
evm.utg7.72	O95427	swissprot	PIGN MCD4	GPI anchor biosynthetic process [GO:0006506]	mannose-ethanolamine phosphotransferase activity [GO:0051377]
evm.utg7.73	Q4PJT6	swissprot	Spata24		identical protein binding [GO:0042802]
evm.utg7.75	K7Z9Q9	swissprot		proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg7.76	K7Z9Q9	swissprot		proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg7.79	O27123	swissprot	rpo2N rpoB2 MTH_1049		5'-3' RNA polymerase activity [GO:0034062]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]
evm.utg7.80	O27124	swissprot	rpo2C rpoB1 MTH_1050		5'-3' RNA polymerase activity [GO:0034062]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]
evm.utg7.85	Q22460	swissprot	bca-1 T13C5.5	IRE1-mediated unfolded protein response [GO:0036498]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]
evm.utg7.86	F1R332	swissprot	galr2a	galanin-activated signaling pathway [GO:0090663]; G protein-coupled receptor signaling pathway [GO:0007186]	galanin receptor activity [GO:0004966]; G protein-coupled receptor activity [GO:0004930]
evm.utg8.1	A0A6P8IPL0	trembl	LOC116303564	calcium-ion regulated exocytosis [GO:0017156]	calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]
evm.utg8.2	A0A6S7FYV1	trembl	PACLA_8A057115	peptidyl-hypusine biosynthetic process [GO:0008612]	
evm.utg8.3	A0A6P8IRI9	trembl	LOC116303563	nervous system development [GO:0007399]; nuclear membrane reassembly [GO:0031468]	protein phosphatase 2A binding [GO:0051721]
